,County1,Dem-Rep %,State1,COVID Cases per 100K
5,Bath,-37.519999999999996,Kentucky,736.0
6,Bell,-62.19,Kentucky,2028.2728948985864
7,Boone,-41.75,Kentucky,1253.9208420359184
8,Bourbon,-31.549999999999997,Kentucky,1071.3563776025874
9,Boyd,-37.010000000000005,Kentucky,1085.234813134124
10,Boyle,-29.03,Kentucky,1021.290751829674
11,Bracken,-56.870000000000005,Kentucky,505.8412621943875
12,Breathitt,-42.76,Kentucky,768.0126682501981
13,Breckinridge,-51.56,Kentucky,708.1115397763343
14,Bullitt,-49.78,Kentucky,1169.2541260590624
15,Butler,-62.42999999999999,Kentucky,2678.7794083391573
16,Caldwell,-54.34,Kentucky,1341.492115791951
17,Calloway,-35.00999999999999,Kentucky,1671.7520063588113
18,Campbell,-24.450000000000003,Kentucky,984.1425884766627
19,Carlisle,-63.900000000000006,Kentucky,1764.705882352941
20,Carroll,-38.44,Kentucky,1909.5099238077319
21,Carter,-51.67999999999999,Kentucky,820.9874239653693
22,Casey,-73.23,Kentucky,1745.1574973698864
23,Christian,-31.340000000000003,Kentucky,2039.4260654830327
24,Clark,-37.050000000000004,Kentucky,992.7474285083971
25,Clay,-75.5,Kentucky,1723.5314808301089
26,Clinton,-73.11,Kentucky,1399.4910941475823
27,Crittenden,-66.22,Kentucky,1396.774926186691
28,Cumberland,-66.63,Kentucky,1648.0193528878135
29,Daviess,-32.19,Kentucky,1499.3448985824198
30,Edmonson,-60.17999999999999,Kentucky,1152.2633744855968
31,Elliott,-44.129999999999995,Kentucky,585.3398962352003
32,Estill,-56.41,Kentucky,1417.836381681554
33,Fayette,9.449999999999996,Kentucky,2182.873694112987
34,Fleming,-53.900000000000006,Kentucky,596.6668952746726
35,Floyd,-48.24000000000001,Kentucky,595.6896793953188
36,Franklin,-4.6100000000000065,Kentucky,1402.2082328254007
37,Fulton,-32.54,Kentucky,2881.554699279611
38,Gallatin,-50.75,Kentucky,1127.5228323373547
39,Garrard,-58.39,Kentucky,1030.227555756821
40,Grant,-56.05,Kentucky,737.9632215086361
41,Graves,-56.379999999999995,Kentucky,2076.960231846724
42,Grayson,-59.19,Kentucky,1562.7956256858515
43,Green,-66.38000000000001,Kentucky,2559.181062060141
44,Greenup,-45.46000000000001,Kentucky,1310.615989515072
45,Hancock,-35.949999999999996,Kentucky,1066.2692043109378
46,Hardin,-30.189999999999998,Kentucky,1271.6523369202762
47,Harlan,-72.12,Kentucky,1876.2014609765477
48,Harrison,-43.74999999999999,Kentucky,1006.0362173038228
49,Hart,-49.419999999999995,Kentucky,982.4008405568691
50,Henderson,-27.659999999999997,Kentucky,2026.1004202610047
51,Henry,-43.589999999999996,Kentucky,1271.238992930671
